player_id,player_name,bat_hand
669699,"Shewmake, Braden",L
669701,"Smith, Josh",L
669707,"Triolo, Jared",R
669717,"Wilson, Will",R
669720,"Hays, Austin",R
669722,"Davidson, Logan",S
669742,"Hall, Darick",L
669743,"Call, Alex",R
669899,"Ward, Ryan",L
669911,"Toglia, Michael",S
669945,"Young, Chavez",S
670032,"Lopez, Nicky",L
670042,"Raley, Luke",L
670076,"Lin, Lyle",R
670092,"Brooks, Trenton",L
670097,"Short, Zack",S
670113,"Haley, Jim",R
670128,"Kohlwey, Taylor",L
670148,"Mondou, Nate",L
670156,"Mastrobuoni, Miles",L
670190,"Bins, Carter",R
670208,"Fraizer, Matt",L
670223,"Mervis, Matt",L
670224,"Misner, Kameron",L
670231,"Rave, John",L
670232,"Rodríguez, Ramón",R
670237,"Slaughter, Jake",R
670242,"Wallner, Matt",L
670276,"Stevenson, Cal",S
670351,"Rojas, Jose",L
670541,"Alvarez, Yordan",L
670623,"Paredes, Isaac",R
670712,"Brosseau, Mike",S
670764,"Walls, Taylor",S
670768,"González, Luis",L
670770,"Friedl, TJ",L
670860,"Armenteros, Lazaro",R
670867,"Maitan, Kevin",S
670868,"Gutierrez, Abrahan",S
670869,"Soto, Livan",L
670870,"Severino, Yunior",S
671056,"Herrera, Iván",R
671083,"Kennedy, Buddy",R
671088,"Morris, Tanner",L
671113,"Daniels, Zach",R
671117,"Baker, Darren",L
671155,"Johnson, Ivan",S
671213,"Casas, Triston",L
671217,"Praytor, Sam",R
671218,"Ramos, Heliot",R
671221,"Waters, Drew",S
671271,"Rosario, Jeisson",L
671272,"García, David",S
671277,"García Jr., Luis",S
671284,"Elko, Tim",R
671286,"Rodríguez, Johnathan",R
671287,"Clarke, Phil",L
671289,"Freeman, Tyler",R
671732,"Butler, Lawrence",L
671739,"Harris II, Michael",L
671913,"Palmegiani, Damiano",R
671956,"Myers, Noah",L
671976,"Peters, Tristan",L
672012,"Black, Tyler",L
672013,"Schofield-Sam, T.J.",L
672016,"Clarke, Denzel",R
672018,"Brown, Dasan",R
672275,"Bailey, Patrick",S
672279,"Siani, Michael",L
672284,"Kelenic, Jarred",L
672356,"Arias, Gabriel",R
672357,"Barley, Jordy",R
672359,"Ornelas, Tirso",L
672361,"Ruiz, Agustin",L
672373,"Morales, Jeferson",R
672386,"Kirk, Alejandro",R
672463,"Lantigua, Rafael",R
672478,"Diaz, Jordan",R
672515,"Moreno, Gabriel",R
672537,"Rosario, Dalvy",R
672569,"Campero, Gustavo",S
672580,"Garcia, Maikel",R
672596,"Perez Jr., Robert",R
672613,"Alfonzo, Eliezer",S
672635,"Mieses, Luis",L
672640,"Lopez, Otto",R
672642,"Berroa, Steward",S
672695,"Perdomo, Geraldo",S
672696,"Acuna, Francisco",R
672701,"Devers, José",L
672724,"Peraza, Oswald",R
672744,"Canario, Alexander",R
672761,"Pérez, Wenceel",S
672820,"Sosa, Lenyn",R
672832,"Pineda, Israel",R
672850,"Caballero, Jorge",R
673237,"Diaz, Yainer",R
673357,"Robert Jr., Luis",R
673490,"Kim, Ha-Seong",R
673548,"Suzuki, Seiya",R
673893,"Schwecke, Trevor",R
673901,"Brown, Vaun",R
673962,"Jung, Josh",R
673990,"Thomas, Andy",L
673995,"Wendzel, Davis",R
674441,"Hurtubise, Jacob",L
674646,"Bradley, Tucker",L
674951,"Podkul, Nick",R
674976,"Lockwood-Powell, Griffin",R
675085,"Long, Jonathon",R
675394,"Olmstead, Johnny",R
675430,"Rodriguez, CJ",R
675448,"Hunt, Blake",R
675455,"Tolentino, Milan",L
675628,"Hill, Darius",L
675656,"Smith, Kevin",R
